height_mm,volume_litres
35.400,6.077455
35.500,6.102445
35.600,6.127478
35.700,6.152555
35.800,6.177675
35.900,6.202838
36.000,6.228045
36.100,6.253295
36.200,6.278588
36.300,6.303924
36.400,6.329304
36.500,6.354727
36.600,6.380193
36.700,6.405703
36.800,6.431256
36.900,6.456852
37.000,6.482491
37.100,6.508173
37.200,6.533899
37.300,6.559668
37.400,6.585480
37.500,6.611335
37.600,6.637234
37.700,6.663176
37.800,6.689160
37.900,6.715188
38.000,6.741260
38.100,6.767374
38.200,6.793532
38.300,6.819732
38.400,6.845976
38.500,6.872263
38.600,6.898593
38.700,6.924967
38.800,6.951383
38.900,6.977842
39.000,7.004345
39.100,7.030891
39.200,7.057480
39.300,7.084111
39.400,7.110786
39.500,7.137504
39.600,7.164266
39.700,7.191070
39.800,7.217917
39.900,7.244807
40.000,7.271741
40.100,7.298717
40.200,7.325737
40.300,7.352799
40.400,7.379904
40.500,7.407053
40.600,7.434244
40.700,7.461479
40.800,7.488756
40.900,7.516077
41.000,7.543440
41.100,7.570847
41.200,7.598296
41.300,7.625789
41.400,7.653324
41.500,7.680902
41.600,7.708523
41.700,7.736188
41.800,7.763895
41.900,7.791645
42.000,7.819438
42.100,7.847273
42.200,7.875152
42.300,7.903074
42.400,7.931038
42.500,7.959046
42.600,7.987096
42.700,8.015189
42.800,8.043326
42.900,8.071505
43.000,8.099726
43.100,8.127991
43.200,8.156298
43.300,8.184649
43.400,8.213042
43.500,8.241478
43.600,8.269957
43.700,8.298478
43.800,8.327043
43.900,8.355650
44.000,8.384300
44.100,8.412993
44.200,8.441729
44.300,8.470507
44.400,8.499328
44.500,8.528192
44.600,8.557099
44.700,8.586048
44.800,8.615040
44.900,8.644075
45.000,8.673153
45.100,8.702273
45.200,8.731436
45.300,8.760642
45.400,8.789891
45.500,8.819182
45.600,8.848516
45.700,8.877892
45.800,8.907312
45.900,8.936774
46.000,8.966278
46.100,8.995825
46.200,9.025415
46.300,9.055048
46.400,9.084723
46.500,9.114441
46.600,9.144202
46.700,9.174005
46.800,9.203850
46.900,9.233739
47.000,9.263670
47.100,9.293643
47.200,9.323659
47.300,9.353718
47.400,9.383819
47.500,9.413963
47.600,9.444150
47.700,9.474379
47.800,9.504650
47.900,9.534965
48.000,9.565321
48.100,9.595720
48.200,9.626162
48.300,9.656646
48.400,9.687173
48.500,9.717743
48.600,9.748354
48.700,9.779009
48.800,9.809705
48.900,9.840445
49.000,9.871226
49.100,9.902051
49.200,9.932917
49.300,9.963827
49.400,9.994778
49.500,10.025772
49.600,10.056809
49.700,10.087888
49.800,10.119009
49.900,10.150173
50.000,10.181379
50.100,10.212628
50.200,10.243919
50.300,10.275252
50.400,10.306628
50.500,10.338046
50.600,10.369507
50.700,10.401010
50.800,10.432555
50.900,10.464143
51.000,10.495773
51.100,10.527445
51.200,10.559160
51.300,10.590917
51.400,10.622717
51.500,10.654558
51.600,10.686442
51.700,10.718369
51.800,10.750338
51.900,10.782348
52.000,10.814402
52.100,10.846497
52.200,10.878635
52.300,10.910815
52.400,10.943038
52.500,10.975302
52.600,11.007609
52.700,11.039958
52.800,11.072350
52.900,11.104783
53.000,11.137259
53.100,11.169777
53.200,11.202337
53.300,11.234940
53.400,11.267585
53.500,11.300271
53.600,11.333001
53.700,11.365772
53.800,11.398585
53.900,11.431441
54.000,11.464339
54.100,11.497279
54.200,11.530261
54.300,11.563285
54.400,11.596351
54.500,11.629460
54.600,11.662610
54.700,11.695803
54.800,11.729038
54.900,11.762315
55.000,11.795634
55.100,11.828995
55.200,11.862399
55.300,11.895844
55.400,11.929332
55.500,11.962862
55.600,11.996433
55.700,12.030046
55.800,12.063699
55.900,12.097394
56.000,12.131129
56.100,12.164905
56.200,12.198721
56.300,12.232577
56.400,12.266473
56.500,12.300407
56.600,12.334382
56.700,12.368395
56.800,12.402447
56.900,12.436537
57.000,12.470666
57.100,12.504833
57.200,12.539037
57.300,12.573280
57.400,12.607559
57.500,12.641876
57.600,12.676230
57.700,12.710621
57.800,12.745049
57.900,12.779513
58.000,12.814013
58.100,12.848549
58.200,12.883121
58.300,12.917729
58.400,12.952373
58.500,12.987051
58.600,13.021765
58.700,13.056514
58.800,13.091297
58.900,13.126116
59.000,13.160968
59.100,13.195855
59.200,13.230776
59.300,13.265731
59.400,13.300720
59.500,13.335742
59.600,13.370798
59.700,13.405887
59.800,13.441010
59.900,13.476165
60.000,13.511353
60.100,13.546574
60.200,13.581827
60.300,13.617113
60.400,13.652431
60.500,13.687781
60.600,13.723163
60.700,13.758577
60.800,13.794023
60.900,13.829500
61.000,13.865008
61.100,13.900548
61.200,13.936119
61.300,13.971720
61.400,14.007353
61.500,14.043016
61.600,14.078710
61.700,14.114435
61.800,14.150190
61.900,14.185974
62.000,14.221789
62.100,14.257634
62.200,14.293509
62.300,14.329414
62.400,14.365348
62.500,14.401311
62.600,14.437304
62.700,14.473326
62.800,14.509377
62.900,14.545458
63.000,14.581567
63.100,14.617704
63.200,14.653871
63.300,14.690066
63.400,14.726289
63.500,14.762541
63.600,14.798821
63.700,14.835129
63.800,14.871465
63.900,14.907828
64.000,14.944220
64.100,14.980639
64.200,15.017086
64.300,15.053560
64.400,15.090061
64.500,15.126590
64.600,15.163146
64.700,15.199729
64.800,15.236339
64.900,15.272975
65.000,15.309639
65.100,15.346329
65.200,15.383045
65.300,15.419788
65.400,15.456557
65.500,15.493353
65.600,15.530175
65.700,15.567022
65.800,15.603896
65.900,15.640795
66.000,15.677721
66.100,15.714671
66.200,15.751648
66.300,15.788650
66.400,15.825677
66.500,15.862730
66.600,15.899808
66.700,15.936911
66.800,15.974039
66.900,16.011192
67.000,16.048370
67.100,16.085572
67.200,16.122800
67.300,16.160052
67.400,16.197328
67.500,16.234629
67.600,16.271954
67.700,16.309303
67.800,16.346677
67.900,16.384075
68.000,16.421497
68.100,16.458942
68.200,16.496412
68.300,16.533905
68.400,16.571422
68.500,16.608963
68.600,16.646527
68.700,16.684114
68.800,16.721725
68.900,16.759360
69.000,16.797017
69.100,16.834698
69.200,16.872401
69.300,16.910128
69.400,16.947877
69.500,16.985650
69.600,17.023445
69.700,17.061262
69.800,17.099103
69.900,17.136966
70.000,17.174851
70.100,17.212759
70.200,17.250689
70.300,17.288641
70.400,17.326615
70.500,17.364612
70.600,17.402630
70.700,17.440671
70.800,17.478733
70.900,17.516817
71.000,17.554923
71.100,17.593051
71.200,17.631200
71.300,17.669371
71.400,17.707563
71.500,17.745776
71.600,17.784011
71.700,17.822267
71.800,17.860544
71.900,17.898843
72.000,17.937162
72.100,17.975502
72.200,18.013864
72.300,18.052246
72.400,18.090649
72.500,18.129072
72.600,18.167516
72.700,18.205981
72.800,18.244467
72.900,18.282972
73.000,18.321499
73.100,18.360045
73.200,18.398612
73.300,18.437199
73.400,18.475806
73.500,18.514433
73.600,18.553080
73.700,18.591747
73.800,18.630434
73.900,18.669141
74.000,18.707868
74.100,18.746614
74.200,18.785380
74.300,18.824165
74.400,18.862970
74.500,18.901795
74.600,18.940639
74.700,18.979502
74.800,19.018384
74.900,19.057286
75.000,19.096207
75.100,19.135147
75.200,19.174106
75.300,19.213084
75.400,19.252080
75.500,19.291096
75.600,19.330131
75.700,19.369184
75.800,19.408256
75.900,19.447346
76.000,19.486455
76.100,19.525583
76.200,19.564729
76.300,19.603894
76.400,19.643076
76.500,19.682277
76.600,19.721497
76.700,19.760734
76.800,19.799990
76.900,19.839264
77.000,19.878555
77.100,19.917865
77.200,19.957193
77.300,19.996538
77.400,20.035901
77.500,20.075282
77.600,20.114681
77.700,20.154097
77.800,20.193531
77.900,20.232982
78.000,20.272451
78.100,20.311937
78.200,20.351441
78.300,20.390962
78.400,20.430500
78.500,20.470055
78.600,20.509628
78.700,20.549218
78.800,20.588824
78.900,20.628448
79.000,20.668089
79.100,20.707746
79.200,20.747420
79.300,20.787112
79.400,20.826819
79.500,20.866544
79.600,20.906285
79.700,20.946043
79.800,20.985817
79.900,21.025608
80.000,21.065415
80.100,21.105239
80.200,21.145079
80.300,21.184935
80.400,21.224808
80.500,21.264696
80.600,21.304601
80.700,21.344522
80.800,21.384459
80.900,21.424412
81.000,21.464381
